House,Price ($M),House (K sf) ,Lot (K sf),Bedrooms,Bathrooms
House 1,6,6.9,42.7,6,9
House 2,5.8,8,36.6,6,8
House 3,5.6,8,44,7,7
House 4,3.5,3.8,18,4,4
House 5,3.4,6.1,27.4,5,5
House 6,3.4,4.3,22.2,5,4
House 7,2.7,3.8,22,4,5
House 8,2.6,5,29.3,4,5
House 9,2.6,3.6,31.4,4,4
House 10,2.3,3.1,22.2,4,5
House 11,2.3,3.9,21.7,5,4
House 12,2.3,3.2,24.4,4,4
House 13,1.9,3.5,25.3,4,3
House 14,1.9,3.4,24,5,4
House 15,1.9,3.2,21.8,4,4
House 16,1.6,3.3,6.6,4,4
House 17,1.6,2.3,15.9,4,4
House 18,1.5,2.3,21.2,3,3